,hex_4000km,assessed_num,ki_num,when_left_prev_lessonemonth,when_left_prev_moreonemonth,when_left_prev_NC,access_market_NC,access_market_no_access,access_market_yes_always,access_market_yes_restricted,distance_to_market_1_to_halfday,distance_to_market_30_less_1,distance_to_market_halfday,distance_to_market_more_halfday,distance_to_market_NC,distance_to_market_SL,distance_to_market_under_30,access_healthservices_NC,access_healthservices_no,access_healthservices_yes,available_health_services_mobile_clinic_NC,available_health_services_mobile_clinic_no,available_health_services_mobile_clinic_SL,available_health_services_mobile_clinic_yes,available_health_services_hospital_NC,available_health_services_hospital_no,available_health_services_hospital_SL,available_health_services_hospital_yes,available_health_services_clinic_NC,available_health_services_clinic_no,available_health_services_clinic_SL,available_health_services_clinic_yes,conflict_causes_none_NC,conflict_causes_none_no,conflict_causes_none_yes,conflict_causes_water_dispute_NC,conflict_causes_water_dispute_no,conflict_causes_water_dispute_yes,protection_incidents_none_NC,protection_incidents_none_no,protection_incidents_none_yes,surfacewater_drinking_,surfacewater_drinking_NC,surfacewater_drinking_no,surfacewater_drinking_yes,education_available_none_NC,education_available_none_no,education_available_none_yes,info_mainsource_radio_NC,info_mainsource_radio_no,info_mainsource_radio_yes,still_contact_htr_NC,still_contact_htr_no,still_contact_htr_yes,food_situation_improved,food_situation_NC,food_situation_remained_same,food_situation_SL,food_situation_worse,dam_shelters_reason_no_destroyed,dam_shelters_reason_yes_destroyed,mainsource_water_river_pond
1,AA-50,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
2,AA-51,5,19,1,0,0,0.2,0,0.4,0.4,0.2,0.2,0,0,0.4,0.2,0,0.2,0.4,0.4,0,0.4,0.6,0,0,0.4,0.6,0,0,0.4,0.6,0,0,1,0,0,0.4,0.6,0.4,0.2,0.4,0.6,0,0.2,0.2,0,1,0,0,0,1,0.4,0.2,0.4,0.4,0.2,0,0.2,0.2,0,1,0.6
3,AA-52,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
4,AB-44,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
5,AB-46,2,5,1,0,0,0,0,0,1,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0.5,0,0,0,0.5,0.5,0,0,0.5,0.5,0,1,0,0,1,0,0,0.5,0.5,0.5,0,0.5,0,0,1,0,0,0,1,0.5,0,0.5,0,0,0,0.5,0.5,0,1,0.5
6,AB-49,5,17,1,0,0,0,0,0.2,0.8,0.4,0.4,0,0,0,0,0.2,0.4,0.6,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0.2,0.8,0.6,0.2,0,0.2,0.2,0.8,0,0,0,1,0,0.2,0.8,0,0,0,0.6,0.4,0,1,0.4
7,AB-50,6,21,1,0,0,0,0.333333333,0.166666667,0.5,0.333333333,0.166666667,0,0,0.166666667,0.333333333,0,0.333333333,0.5,0.166666667,0,0.166666667,0.833333333,0,0,0.166666667,0.833333333,0,0,0.166666667,0.833333333,0,0,1,0,0.166666667,0.833333333,0,0.166666667,0.5,0.333333333,1,0,0,0,0.166666667,0.833333333,0,0,0,1,0.166666667,0.166666667,0.666666667,0.166666667,0.166666667,0,0.166666667,0.5,0,1,1
8,AB-51,10,35,1,0,0,0.1,0,0.1,0.8,0.4,0.2,0,0.1,0.1,0.1,0.1,0.3,0.5,0.2,0,0.2,0.8,0,0.1,0.1,0.8,0,0,0.1,0.8,0.1,0.1,0.9,0,0.1,0.9,0,0.1,0.4,0.5,0.9,0.1,0,0,0,1,0,0.1,0,0.9,0.1,0.3,0.6,0.2,0.1,0,0.3,0.4,0,1,0.9
9,AC-49,1,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
10,AH-40,1,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
11,AM-25,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1
12,AO-38,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
13,H-50,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
14,I-51,4,4,1,0,0,0,0.25,0.75,0,0,0,0,0,0,0.25,0.75,0,0.5,0.5,0,0.5,0.5,0,0,0.25,0.5,0.25,0,0.25,0.5,0.25,0,0.25,0.75,0,1,0,0,0.5,0.5,0.25,0,0,0.75,0,1,0,0,0,1,0,0,1,0.25,0,0,0.5,0.25,0.5,0.5,0.25
15,I-52,2,2,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0.5,0.5,0,0,1,0,0,0,1,0,1,0,1
16,I-54,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
17,J-51,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
18,J-52,1,5,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
19,K-53,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1
20,L-50,2,11,1,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0,1,0,0.5,0.5,0,0,1,0,0,0.5,0.5,0,0,1,0,0.5,0,0.5,0,0,1,0,0.5,0,0.5,0,1,0,0.5
21,L-54,1,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
22,M-49,3,4,0.666666667,0.333333333,0,0.333333333,0.333333333,0,0.333333333,0,0,0,0,0,0.666666667,0.333333333,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.333333333,0.666666667,0,0.333333333,0.666666667,0,0.333333333,0.666666667,0,0.666666667,0,0.333333333,0,0,1,0,0.333333333,0.333333333,0.333333333,0,0,1,0,0,0,1,0,0.666666667,0.333333333,0.666666667
