hex_4000km,assessed_num,access_market_no_access,access_market_yes_always,food_situation_worse,access_healthservices_no,access_healthservices_yes,available_health_services_clinic_no,available_health_services_clinic_yes,conflict_causes_water_dispute_no,conflict_causes_water_dispute_yes,protection_incidents_none_no,surfacewater_drinking_yes,education_available_none_no,education_available_none_yes,conflict_causes_none_no,conflict_causes_none_yes,info_mainsource_radio_no,info_mainsource_radio_yes,dam_shelters_reason_no_destroyed,dam_shelters_reason_yes_destroyed,mainsource_water_river_pond
AA-39,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1
AA-51,1,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1
AB-49,3,0,0.666666667,0.666666667,0.333333333,0.666666667,0,0.666666667,1,0,0.666666667,0.333333333,0.333333333,0.666666667,1,0,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333
AB-50,3,0,1,0,0.666666667,0.333333333,0,0.333333333,0.666666667,0.333333333,0.333333333,0,1,0,1,0,0,0.666666667,0.666666667,0.333333333,1
AB-51,4,0,0.75,0.5,0.75,0.25,0,0.25,1,0,0.75,0.25,1,0,1,0,0,1,0.5,0.5,0.75
G-42,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
I-52,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
I-65,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
J-51,2,0,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,1,0,0.5,0.5,0.5,0.5,1,0,0
J-66,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0
K-49,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
K-51,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0
K-60,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0
K-65,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1
L-49,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0
L-50,2,0,1,0,0.5,0.5,0,0.5,0.5,0.5,1,0,1,0,0.5,0.5,0,1,0.5,0.5,1
L-51,2,0.5,0,0,0.5,0.5,0.5,0,1,0,0,0,1,0,0,1,0,1,1,0,1
M-41,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
M-49,5,0,0.4,0.2,0.8,0.2,0,0.2,1,0,0.6,0.2,1,0,0.4,0.2,0.2,0.8,1,0,0.6
M-50,6,0,0.166666667,0.166666667,0.833333333,0.166666667,0,0.166666667,0.833333333,0,0.666666667,0.166666667,1,0,0.333333333,0.5,0.166666667,0.666666667,0.833333333,0.166666667,0.333333333
M-51,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
M-54,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1
M-56,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0
N-40,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
N-41,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0
N-46,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1
N-47,1,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0
N-48,7,0.142857143,0.285714286,0.142857143,0.714285714,0.285714286,0.142857143,0.142857143,0.857142857,0,0.428571429,0.142857143,1,0,0.428571429,0.571428571,0.285714286,0.571428571,0.857142857,0.142857143,0.714285714
N-49,2,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,1
N-50,3,0,0.333333333,0,0.666666667,0.333333333,0,0.333333333,1,0,0.666666667,0,1,0,0.666666667,0,0.333333333,0.666666667,1,0,1
N-51,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1
N-53,2,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0,0.5,0.5,1,0,0.5,0.5,0.5,0.5,0
N-54,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
N-61,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0
O-42,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
O-43,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
O-46,3,0,0.333333333,0.333333333,0.666666667,0.333333333,0.333333333,0,0.666666667,0.333333333,0.333333333,0,1,0,0.666666667,0.333333333,0.333333333,0.666666667,0.666666667,0.333333333,1
O-47,6,0,0,0,0.833333333,0.166666667,0.166666667,0,1,0,0.5,0.333333333,0.833333333,0.166666667,0,0.833333333,0.166666667,0.833333333,1,0,0.5
O-48,6,0.166666667,0.166666667,0.166666667,0.833333333,0.166666667,0.166666667,0,1,0,0.333333333,0,1,0,0.166666667,0.833333333,0.333333333,0.666666667,0.833333333,0.166666667,0.666666667
O-49,6,0,0.333333333,0.166666667,1,0,0,0,1,0,0.666666667,0.166666667,1,0,0.166666667,0.833333333,0.333333333,0.5,1,0,0.666666667
O-52,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1
P-43,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
P-46,1,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0
P-47,15,0.133333333,0.4,0.133333333,0.733333333,0.266666667,0.066666667,0.133333333,0.933333333,0,0.733333333,0.133333333,1,0,0.466666667,0.466666667,0.333333333,0.6,0.666666667,0.333333333,0.866666667
P-48,13,0,0.153846154,0.076923077,0.769230769,0.076923077,0.076923077,0,1,0,0.461538462,0.153846154,1,0,0.076923077,0.692307692,0.153846154,0.615384615,0.846153846,0.153846154,0.769230769
P-49,5,0.2,0.6,0,1,0,0,0,1,0,0.6,0,1,0,0.2,0.6,0.2,0.6,0.8,0.2,0.8
P-51,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0
P-52,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0
Q-42,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
Q-45,4,0.25,0.25,0,0.75,0.25,0.25,0,1,0,0.25,0,1,0,0,1,0,1,1,0,1
Q-46,4,0.25,0.5,0.5,0.5,0.5,0.25,0.25,0.75,0.25,0.5,0.25,1,0,0.75,0.25,0.5,0.5,0.75,0.25,0.75
Q-47,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1
Q-48,4,0,0.5,0.25,0.5,0.5,0.25,0,1,0,0.5,0.25,1,0,0.5,0.5,0,0.75,0.75,0.25,0.5
R-43,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0
R-45,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0.5
R-46,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1
R-47,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
R-48,2,0.5,0.5,0.5,0.5,0.5,0.5,0,1,0,0,0.5,1,0,0,1,0,1,1,0,0.5
R-49,4,0,0.5,0.25,0.75,0.25,0.25,0,1,0,0.25,0.25,1,0,0.5,0.5,0,1,0.75,0.25,0.5
R-57,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
R-59,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0
S-42,2,0,0.5,0,1,0,0,0,1,0,0.5,1,1,0,0,1,0.5,0.5,1,0,0
S-43,3,0.333333333,0.333333333,0.333333333,1,0,0,0,1,0,0.666666667,0.333333333,1,0,0.333333333,0.333333333,0.666666667,0,0.666666667,0.333333333,0
S-48,5,0,0.6,0,1,0,0,0,1,0,0.2,0.2,1,0,0.2,0.6,0.4,0.6,1,0,0.8
S-49,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
S-55,2,0,0,1,0.5,0,0,0,0.5,0,1,0,1,0,1,0,0,1,0,1,0
T-48,2,0,0,0.5,0.5,0.5,0.5,0,0.5,0,1,0.5,1,0,0.5,0.5,0,1,0.5,0.5,0.5
T-49,3,0.333333333,0.333333333,0.333333333,0.666666667,0.333333333,0.333333333,0,1,0,0.666666667,0,1,0,0.666666667,0.333333333,0.333333333,0.666666667,0.333333333,0.666666667,0.333333333
T-51,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0
T-54,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
T-56,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1
U-42,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1
U-43,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0
U-55,2,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1
V-43,4,0,0.5,0,0.25,0.5,0.5,0,1,0,0.75,0.25,1,0,0.25,0.5,0,0.75,1,0,0
V-55,9,0,1,0.666666667,0.222222222,0.777777778,0.222222222,0.555555556,0.666666667,0.333333333,0.888888889,0.111111111,1,0,1,0,0,0.888888889,0.222222222,0.777777778,0.666666667
W-52,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
W-54,14,0,0.642857143,0.642857143,0.642857143,0.357142857,0.285714286,0.071428571,0.642857143,0.285714286,0.928571429,0.071428571,1,0,0.928571429,0,0.142857143,0.785714286,0.142857143,0.857142857,0.785714286
W-55,5,0,0.8,0.8,0.4,0.6,0.2,0.4,1,0,0.6,0.2,1,0,1,0,0,1,0.4,0.6,0.6
X-52,2,0,0.5,0.5,0.5,0,0,0,0.5,0,1,0.5,1,0,1,0,0.5,0.5,0,1,0.5
X-54,5,0,1,0.6,0.6,0.4,0.2,0.2,0.8,0.2,0.8,0,1,0,0.8,0,0,1,0.2,0.8,0.6
X-55,3,0,0.666666667,0,0.333333333,0.333333333,0,0.333333333,1,0,0.666666667,0,0.666666667,0.333333333,0.666666667,0,0,1,1,0,0.333333333
Y-51,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,1
Y-52,3,0,1,1,0.333333333,0.666666667,0.666666667,0,1,0,1,0,1,0,1,0,0,1,0,1,0.333333333
Y-53,4,0,0.75,0.75,0.25,0.75,0.25,0.5,0.75,0.25,1,0,0.75,0,1,0,0,1,0,1,0
Y-54,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
Z-39,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
Z-49,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1
Z-52,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1
Z-53,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1
