,hex_4000km,ki_num,assessed_num,food_price_changed_prices_increased,education_available_none_yes,access_healthservices_no,health_workers_available_yes,protection_incidents_none_no,dam_shelter_yes,handwashing_access_no,covid_information_no
1,AA-51,2,1,1,0,1,0,1,0,1,0
2,AB-49,5,2,0.5,0,0.5,0,1,0.5,1,0
3,AB-50,4,2,0.5,0,1,0,1,0.5,1,0
4,AB-51,8,3,0.666666667,0,0.333333333,0,0.666666667,0,1,0.333333333
5,J-51,2,1,1,0,0,0,0,0,0,0
6,L-50,4,1,1,0,1,0,0,0,0,0
7,M-49,10,2,1,0,1,0,0.5,0,0.5,0
8,M-50,2,1,1,0,0,0,1,0,1,0
9,M-51,2,1,1,0,1,0,0,0,0,0
10,N-46,2,1,1,0,1,0,0,0,0,0
11,N-47,3,1,1,0,0,0,1,0,0,0
12,N-48,15,4,1,0,0.75,0,0.5,0.25,0.25,0
13,N-49,2,1,1,0,0,0,0,0,0,0
14,N-50,6,1,1,0,1,0,0,0,0,0
15,N-51,3,1,1,0,1,0,1,0,1,0
16,O-47,5,2,0.5,0,1,0,0.5,0.5,0.5,0
17,O-48,3,1,1,0,1,0,0,0,0,0
18,O-49,6,2,1,0,0.5,0,0,0,0.5,0
19,P-47,19,4,1,0,0.75,0,0.5,0.25,0.5,0
20,P-48,8,2,1,0,1,0,0,0,0,0
21,P-49,8,3,1,0,0.666666667,0,0.666666667,0,0,0
22,Q-46,3,1,1,0,1,1,1,0,0,0
23,R-43,3,1,1,0,1,0,1,0,0,0
24,R-45,3,1,1,0,1,1,1,1,1,0
25,R-46,2,1,1,0,1,0,0,0,0,0
26,R-48,2,1,0,0,0,0,1,0,0,0
27,R-49,3,1,0,0,1,0,1,0,1,0
28,R-57,2,1,0,0,1,0,1,0,1,0
29,S-43,2,1,1,0,1,0,0,0,0,0
30,S-48,3,1,1,0,1,0,0,0,0,0
31,S-55,2,1,0,0,1,0,0,0,1,0
32,T-48,2,1,0,1,1,0,0,0,0,0
33,U-55,4,2,1,0,1,0,0,0,1,0
34,V-55,15,6,0.833333333,0,0.666666667,0.5,0.833333333,0.666666667,0.833333333,0.166666667
35,W-52,2,1,0,0,1,0,1,1,1,0
36,W-54,9,4,0.25,0.25,1,0,0.75,0,0.75,0
37,X-52,8,2,0.5,0,0.5,0.5,1,1,1,0
38,X-54,2,1,0,0,1,0,0,0,1,0
39,X-55,3,1,1,0,1,0,0,0,1,1
40,Y-51,2,1,0,0,1,0,1,1,1,0
41,Y-53,4,2,0.5,0,0.5,0.5,0.5,0,1,0
