"","hex_4000km","ki_num","assessed_num","education_available_none_yes","access_market_no_access","skip_meals_yes","food_situation_worse","access_healthservices_no","available_health_services_clinic_yes","conflict_causes_none_no","protection_incidents_none_no","mainsource_water_river_pond","conflict_causes_water_dispute_yes","info_mainsource_radio_yes","dam_shelter_yes"
"1","AA-50",6,1,0,0,1,1,1,0,0,0,1,0,1,0
"2","AA-51",4,1,0,0,1,1,1,0,1,0,0,0,1,0
"3","AB-50",6,2,0,0,0.5,0,0.5,0,1,0.5,1,0.5,0.5,0
"4","AB-51",5,1,0,0,1,1,1,0,1,0,1,0,1,0
"5","AC-51",4,1,0,0,1,1,0,0,1,0,0,0,1,0
"6","AH-45",4,1,0,0,0,0,1,0,1,0,0,0,1,0
"7","AY-27",2,1,0,0,0,0,0,0,1,1,0,0,1,1
"8","G-44",6,1,0,0,1,1,1,0,1,1,0,0,1,1
"9","I-43",4,1,0,0,1,1,1,0,0,0,0,0,1,0
"10","L-50",2,1,0,0,0,0,1,0,0,0,1,0,0,0
"11","L-51",6,2,0,0,0.5,0.5,0.5,0,1,0,0.5,0,1,0
"12","N-43",4,2,0,0,0,0,0.5,0,1,1,0.5,0,1,0
"13","N-48",4,2,0,0,0,0,0.5,0,0.5,1,0.5,0,0.5,0
"14","N-50",2,1,0,0,0,0,0,0,0,1,0,0,1,0
"15","O-42",4,2,0,0,0,0,1,0,1,1,1,0,0.5,0
"16","O-43",3,1,0,0,0,0,1,0,1,1,0,0,1,0
"17","O-44",6,1,0,0,1,1,1,0,1,0,1,0,1,0
"18","O-46",2,1,0,0,0,0,1,0,1,1,0,0,1,0
"19","P-45",2,1,0,0,0,0,1,0,0,0,1,0,1,0
"20","P-47",10,5,0,0,0,0,0.8,0,1,1,0.8,0,0.4,0
"21","P-48",17,6,0,0,0.333333333333333,0.166666666666667,0.666666666666667,0.166666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.166666666666667,0.666666666666667,0.166666666666667
"22","P-51",6,2,0,0,0.5,0.5,0.5,0.5,0,0,1,0,1,0
"23","Q-46",4,2,0,0,0.5,0,0.5,0,0.5,0,0,0,1,0
"24","Q-47",6,1,0,0,1,1,1,0,0,0,1,0,1,0
"25","R-49",2,1,0,0,0,0,1,0,1,1,0,0,0,0
"26","R-50",2,1,0,0,1,1,0,1,1,0,1,0,0,0
"27","S-48",11,5,0.2,0,0.6,0.4,0.2,0.6,0.6,0.4,0.6,0.2,0.6,0.4
"28","S-49",5,2,0,0,0,0,0,1,0,0,1,0,1,0
"29","T-48",2,1,0,0,0,0,0,1,0,0,1,0,1,0
"30","T-49",2,1,0,0,0,0,0,1,0,0,1,0,1,0
"31","T-50",2,1,0,0,1,0,0,1,0,0,1,0,1,0
"32","T-56",4,1,0,0,1,1,1,0,1,0,0,0,1,0
"33","T-57",4,1,0,0,0,0,1,0,1,0,0,0,1,0
"34","U-55",2,1,0,0,0,0,1,0,1,1,0,0,0,0
"35","V-55",8,2,0,0,0.5,0.5,0.5,0.5,1,1,1,0.5,0.5,0.5
"36","W-50",2,1,0,0,1,1,0,1,1,0,0,1,1,0
"37","W-52",6,2,0,0,1,1,0.5,0,1,1,0.5,0,1,0.5
"38","W-54",59,18,0,0.0555555555555556,0.666666666666667,0.611111111111111,0.222222222222222,0.111111111111111,0.833333333333333,0.777777777777778,0.944444444444444,0.333333333333333,0.888888888888889,0.611111111111111
"39","W-55",3,1,0,0,1,1,0,0,1,1,1,0,1,1
"40","X-51",5,1,0,0,1,1,1,0,1,1,0,0,1,0
"41","X-53",2,1,0,0,1,1,0,0,1,1,1,0,1,1
"42","X-54",5,2,0,0,1,1,0,0,1,1,1,0.5,1,1
"43","X-55",2,1,0,0,0,0,1,0,1,1,1,1,1,1
"44","Y-51",2,1,0,0,1,1,0,1,1,1,1,0,0,1
"45","Z-52",6,2,0,0,1,0.5,0.5,0.5,1,0,0.5,0.5,1,0
"46","Z-53",6,1,0,0,1,1,1,0,0,0,0,0,1,0
