"","hex_4000km","ki_num","assessed_num","food_price_changed_prices_increased","education_bar_cost_stud","access_healthservices_no","health_workers_available_yes","protection_incidents_none_no","dam_shelter_yes","handwashing_access_no","sources_covid_informaiton_mobile_network_operator_yes"
"1","AA-51",7,3,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,1
"2","AB-49",8,3,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0.333333333333333,1
"3","AB-50",6,3,1,0.333333333333333,0.666666666666667,0,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667
"4","AB-51",12,5,0.4,0.6,0.6,0,0.6,0.2,0.6,0.4
"5","AC-51",3,1,1,1,1,0,1,1,1,1
"6","G-44",3,1,1,1,1,0,1,0,1,1
"7","J-52",2,1,0,0,0,0,1,0,1,0
"8","L-50",3,1,1,1,1,0,1,0,1,1
"9","M-49",6,2,0.5,1,1,0,1,0,0.5,0.5
"10","M-50",4,2,1,0.5,1,0,1,0,1,0.5
"11","M-51",2,1,0,0,0,0,1,0,0,0
"12","N-41",2,1,1,1,1,0,1,0,1,1
"13","N-43",2,1,0,1,1,0,1,0,1,0
"14","N-47",3,1,1,0,0,0,0,0,1,1
"15","N-48",12,5,0.6,0.4,1,0,0.4,0,1,0.6
"16","N-49",2,1,0,0,0,0,0,0,0,1
"17","N-50",6,2,0.5,1,1,0,1,0,1,0.5
"18","O-42",4,2,0.5,0.5,0.5,0.5,0.5,0,0.5,1
"19","O-43",2,1,1,0,1,0,0,0,0,1
"20","O-46",5,2,1,1,1,0,1,0,1,1
"21","O-47",5,2,0.5,0,0,0.5,0,0,0,1
"22","O-48",5,2,0.5,0.5,0.5,0.5,0.5,0,0.5,1
"23","O-49",6,2,0.5,0,1,0,0.5,0,1,0.5
"24","P-45",2,1,1,0,1,0,0,0,1,1
"25","P-47",20,7,0.428571428571429,0.571428571428571,0.428571428571429,0.285714285714286,0.571428571428571,0,0.428571428571429,0.571428571428571
"26","P-48",19,7,0.428571428571429,0.571428571428571,0.571428571428571,0.285714285714286,0.571428571428571,0,0.714285714285714,0.857142857142857
"27","P-49",6,2,0.5,0.5,0.5,0.5,0.5,0,0.5,1
"28","Q-46",3,1,1,1,1,0,1,0,1,1
"29","R-43",3,1,1,0,0,0,0,0,1,1
"30","R-45",3,1,0,1,0,0,1,0,1,0
"31","R-46",3,1,1,1,1,0,1,0,1,1
"32","R-48",5,2,0.5,0.5,0.5,0.5,0.5,0,0,1
"33","R-49",5,2,0.5,1,1,0,1,0,1,0.5
"34","R-57",2,1,1,0,1,0,0,0,0,1
"35","S-43",2,1,0,0,0,0,0,0,0,1
"36","S-48",7,3,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,0.333333333333333,1
"37","S-49",2,1,0,1,1,0,0,0,0,0
"38","S-55",6,2,1,0.5,0.5,0,0.5,0,1,1
"39","T-48",2,1,1,0,1,0,0,0,1,1
"40","T-49",2,1,1,1,1,0,1,0,1,1
"41","U-55",4,2,0.5,0.5,0.5,0.5,0.5,0,0.5,1
"42","V-55",13,5,0.2,0.6,0.2,0,0.2,0,0.8,0.4
"43","W-43",2,1,0,0,0,0,0,0,0,1
"44","W-50",2,1,1,1,1,0,1,0,1,1
"45","W-52",3,1,1,1,1,0,1,0,0,1
"46","W-54",27,11,0.454545454545455,0.363636363636364,0.454545454545455,0.363636363636364,0.454545454545455,0.0909090909090909,0.454545454545455,0.727272727272727
"47","W-55",4,2,0.5,0.5,0.5,0,1,0,0.5,0.5
"48","X-51",2,1,0,1,1,0,1,0,0,1
"49","X-52",4,2,0.5,0,0,0.5,0,0,0,1
"50","X-53",2,1,1,1,1,0,1,1,1,1
"51","X-54",4,2,1,1,1,0,1,0,1,1
"52","X-55",2,1,0,0,0,0,0,0,0,1
"53","Y-51",2,1,1,1,1,0,1,0,1,1
"54","Y-53",2,1,1,0,1,0,0,0,0,1
"55","Z-52",2,1,0,0,0,1,0,0,1,1
