"","hex_4000km","ki_num","assessed_num","food_price_changed_prices_increased","education_bar_cost_stud","access_healthservices_no","health_workers_available_yes","protection_incidents_none_no","dam_shelter_yes","handwashing_access_no","sources_covid_informaiton_mobile_network_operator_yes"
"1","AB-50",2,1,1,0,1,1,1,1,0,1
"2","J-52",2,1,1,0,1,0,0,0,1,1
"3","L-50",5,2,1,1,1,0,1,0,0,1
"4","M-49",15,3,1,1,1,0,1,0,0,1
"5","M-50",4,2,1,1,1,0,1,0,0,1
"6","M-51",2,1,1,1,1,0,1,0,0,1
"7","N-40",2,1,1,1,1,0,0,0,0,1
"8","N-41",2,1,1,1,1,0,1,0,0,0
"9","N-43",2,1,1,1,1,0,0,0,0,1
"10","N-46",2,1,1,1,1,0,0,0,0,1
"11","N-47",3,1,1,1,0,0,0,0,0,1
"12","N-48",12,4,1,1,0.75,0,0.25,0,0,1
"13","N-49",2,1,1,0,1,0,0,0,0,1
"14","N-50",7,2,1,1,1,0,0.5,0,0,1
"15","O-42",4,2,1,1,1,0,0.5,0,0,1
"16","O-43",3,1,1,1,1,0,0,0,0,1
"17","O-46",8,2,0.5,0.5,0.5,0.5,0,0,0.5,1
"18","O-47",9,3,1,1,0.666666666666667,0,0,0,0.333333333333333,1
"19","O-48",6,3,1,1,1,0,0,0,0,1
"20","O-49",5,2,0.5,0.5,0.5,0,1,0,0,1
"21","P-45",2,1,1,1,1,0,0,0,0,1
"22","P-47",25,7,0.714285714285714,0.571428571428571,0.857142857142857,0,0.285714285714286,0,0.285714285714286,1
"23","P-48",23,8,1,0.875,0.875,0.125,0.625,0,0.125,1
"24","P-49",6,2,1,1,1,0,1,0,0,1
"25","Q-46",6,1,1,1,1,0,0,0,0,1
"26","R-43",5,2,1,1,1,0,0,0,0,1
"27","R-45",4,1,0,1,1,0,0,0,0,1
"28","R-46",3,1,1,1,1,0,1,0,0,1
"29","R-48",6,2,1,0.5,1,0,0,0,0.5,1
"30","R-49",4,2,0.5,0.5,0.5,0,0.5,0,0.5,1
"31","S-43",2,1,1,1,1,0,1,0,0,1
"32","S-48",9,4,0.75,0.25,0.75,0,0,0,0.666666666666667,1
"33","S-49",4,2,1,0,0.5,0,0,0,0,1
"34","S-55",5,2,1,0.5,1,0,0,0,0,1
"35","T-48",4,2,0,0,0.5,0,0,0,0,1
"36","T-49",2,1,0,0,0,0,1,0,1,1
"37","T-56",2,1,0,0,1,0,0,0,1,1
"38","U-55",10,5,0.6,0,0.8,0,0.4,0,1,1
"39","V-55",13,6,0.5,0.166666666666667,0.166666666666667,0.333333333333333,0.333333333333333,0,0.833333333333333,1
"40","W-43",2,1,1,1,1,0,0,0,0,1
"41","W-54",8,4,0.5,0.25,0.5,0,0.25,0.25,1,1
"42","W-55",6,3,0,0.666666666666667,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,1
"43","X-55",2,1,0,0,0,0,0,0,1,1
"44","Y-53",2,1,1,1,1,0,1,0,0,0
