"","name","ADM1_NAME","ADM2_NAME","hex_4000km","base","consent","finalsettlment","D_ki_coverage","info_settlement","visit_lastmonth","still_talk_2_someone","food_price_changed","soap_price_changed","nfi_price_changed","idp_proportion_settlem","idp_new_arrivals","idp_arrived_from","idp_arrived_from_reg","idp_arrived_from_district","idp_arrived_reason_lack_jobs","idp_arrived_reason_no_services","idp_arrived_reason_evictions","idp_arrived_reason_drought","idp_arrived_reason_flooding","idp_arrived_reason_conflict","idp_pull_factors_better_security","idp_pull_factors_better_services","idp_pull_factors_presence_jobs","idp_pull_factors_availability_shelters","idp_pull_factors_access_water","idp_pull_factors_access_food","hc_push_main","hc_push_second","access_market","nomarket_why_market_far","nomarket_why_road_closed","nomarket_why_concern_transmiting","nomarket_why_no_items","nomarket_why_security","nomarket_why_bad_quality","nomarket_why_no_cash","market_region","market_district","market_settlement","distance_to_market","market_goods_clothes_sewing","market_goods_tools_seeds","market_goods_livestock","market_goods_food","market_goods_jerry_cans","market_goods_construction_materials","market_goods_mosquito_nets","market_goods_womens_materials","market_goods_fuel_cooking","market_goods_soap","market_goods_shoes","skip_meals","food_situation","lack_food_reasons_noland","lack_food_reasons_nomarket","lack_food_reasons_natural_causes","lack_food_reasons_economic_causes","lack_food_reasons_security","food_source","coping_food_strat_none","coping_food_strat_limit_portions","coping_food_strat_wild_foods","coping_food_strat_part_skips","coping_food_strat_borrow","coping_food_strat_cheaper_food","coping_food_strat_reduce_portions","coping_food_strat_skip_days","livelihood_activ_money_rent","livelihood_activ_remittances","livelihood_activ_none","livelihood_activ_business","livelihood_activ_contractual_work","livelihood_activ_begging","livelihood_activ_livestock_produce","livelihood_activ_humanitar_assistance","livelihood_activ_day_labour","livelihood_activ_farming","health_issues","access_healthservices","available_health_services_none","available_health_services_mobile_clinic","available_health_services_hospital","available_health_services_first_aid","available_health_services_clinic","available_health_services_midwife","available_health_services_healer","available_health_services_individual_pract","available_health_services_drugstore","distance_clinic","noaccess_health_none","noaccess_health_m_over60","noaccess_health_m_over18","noaccess_health_g_under18","noaccess_health_pwd","noaccess_health_b_under18","noaccess_health_w_over60","noaccess_health_w_over18","region_clinic","district_clinic","settlement_clinic","barriers_health_distance","barriers_health_none","barriers_health_cost_services","barriers_health_absence_personnel","barriers_health_security","how_often_provide_health","idp_host_relationships","missing_children","unaccompanied_child_y_n","caretaker_who","caretaker_who_community_neighbors","caretaker_who_unaccompanied","caretaker_who_don_t_know","caretaker_who_formal_orphanage","caretaker_who_kafala","uac_where_live","uac_where_live_house","uac_where_live_street","uac_where_live_workplace","uac_where_live_don_t_know","child_services_none","child_services_family_tracing","child_services_socialworkers","child_services_referral_services","child_services_psychosocial_support","child_services_don_t_know","child_services_alternative_care","conflict_causes_tax_dispute","conflict_causes_none","conflict_causes_shelter_dispute","conflict_causes_food_dispute","conflict_causes_land_dispute","conflict_causes_tohumanitarianaid","conflict_causes_clan_dispute","conflict_causes_livestock_dispute","conflict_causes_water_dispute","conflict_causes_property_dispute","conflict_causes_access_work","conflict_causes_family_dispute","cases_eviction","ppl_no_land_tenure","land_tenure_form","depart_return_safe","freedommov_day","freedommov_night","protection_incidents_none","protection_incidents_tax_collection","protection_incidents_sexual_violence","protection_incidents_theft","protection_incidents_abduction","protection_incidents_uxo","protection_incidents_conflict_in_set","protection_inc_location_human_aid_distr","protection_inc_location_school","protection_inc_location_shelters","protection_inc_location_bathing_pl","protection_inc_location_checkpoint","protection_inc_location_clinic","protection_inc_location_on_the_road","protection_inc_location_latrines","protection_inc_location_near_water","protection_inc_location_in_field","protection_inc_location_market","conflict_mediators_clan_lead","conflict_mediators_gatekeeper","conflict_mediators_none","conflict_mediators_loc_authorities","conflict_mediators_rel_leader","conflict_mediators_health_staff","conflict_mediators_ngo_staff","conflict_mediators_commun_leader_elder","incidents_wh_leaving_loss_property","incidents_wh_leaving_none","incidents_wh_leaving_family_separation","incidents_wh_leaving_killing","incidents_wh_leaving_tax_toleave","incidents_wh_leaving_sexual_violence","incidents_wh_leaving_injury","incidents_wh_leaving_relatives_targeted","women_unsafeplaces","women_unsafeplaces_none","women_unsafeplaces_checkpoints","women_unsafeplaces_waterpoints","women_unsafeplaces_field","women_unsafeplaces_latrines","women_unsafeplaces_roads","women_unsafeplaces_markets","women_protincid","women_protincid_none","women_protincid_marriage_underaged","women_protincid_physical_violence","women_protincid_killing","women_protincid_sexual_violence","women_services","women_services_none","women_services_treatment_rape","women_services_treatment_gbv","women_services_psychosocial_support","women_services_legal_support","women_services_shelters_for_victims","shelter_type","ppl_no_shelter","dam_shelters_reason","shelters_not_rebuilt","shelt_not_rebuilt_why","mainsource_water","surfacewater_drinking","gettingwater_time","water_sufficient_lastmonth","water_seasonal","stagnant_water_near","people_using_latrines","barriers_usetoilets_too_far","barriers_usetoilets_women_notsafe","barriers_usetoilets_too_dirty","barriers_usetoilets_not_available","barriers_usetoilets_overcrowded","barriers_usetoilets_pwd_notsafe","barriers_usetoilets_night_notsafe","barriers_usetoilets_not_funtional","barriers_usetoilets_insufficient","barriers_usetoilets_not_common","barriers_usetoilets_child_notsafe","waste_disposal","handwashing_access","education_available_none","education_available_secon_girls","education_available_secon_boys","education_available_ngoschool","education_available_basic_boys","education_available_quran_boys","education_available_basic_girls","education_available_prim_girls","education_available_prim_boys","education_available_quran_girls","time_to_school","education_bar_girls","education_bar_boys","info_mainsource_phone_calls","info_mainsource_conversations","info_mainsource_sms","info_mainsource_social_media","info_mainsource_internet","info_mainsource_radio","info_personsource","main_radios_radio_simba","main_radios_none","main_radios_radio_xamar","main_radios_al_furqaan","main_radios_radio_banadir","main_radios_al_andalus","main_radios_bar_kulan","main_radios_africas_voices","main_radios_voice_of_america","main_radios_radio_shabelle","main_radios_radio_xurmo","main_radios_al_risaala","main_radios_radio_ergo","main_radios_star_fm","main_radios_bbc_somalia","main_radios_radio_kulmiye","main_radios_radio_mogadishu","info_ngo_y_n","info_barriers_written_info_illiterate","info_barriers_none","info_barriers_lack_mobile","info_barriers_no_credit","info_barriers_lack_electricity","info_barriers_lack_radio_sign","ngo_support_y_n","ngo_support_type_livestock","ngo_support_type_cash_distrib","ngo_support_type_seeds_tools","ngo_support_type_vaccinations","ngo_support_type_food_distrib","ngo_support_type_education_service","ngo_support_type_construction_materials_nfis","ngo_support_type_legal_support","road_connection_y_n","plane_connection_y_n","covid_information","sources_covid_informaiton_ngos_NGOs","sources_covid_informaiton_traditional_healers","sources_covid_informaiton_socail_media","sources_covid_informaiton_drugstore_Drugstore","sources_covid_informaiton_family_friends","sources_covid_informaiton_media_radio_tv","sources_covid_informaiton_local_leaders","sources_covid_informaiton_religious_leaders","sources_covid_informaiton_government_agencies","sources_covid_informaiton_healthcare_workers","sources_covid_informaiton_mobile_operator","sources_covid_informaiton_don_t_know","covid_measures","covid_measures_no_measure_taken","covid_measures_washing_soap","covid_measures_avoid_markets","covid_measures_not_allow_people_in","covid_measures_old_people_move","covid_measures_using_sanitizers","covid_measures_wearing_masks","covid_measures_pray","covid_measures_washing_water","covid_measures_isolate_people_with_syspthoms","covid_measures_keeping_people","particip_again","education_bar","health_workers_available","dam_shelter","geometry"
"1","Aawdiinle","Bay","Baidoa","O-47","mogadishu","yes_now","NA-3801-V32-008",2,"NA-3801-V32-008","yes","yes","NC","prices_increased","prices_increased","less_half","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","drought","lack_jobs","yes_restricted","SL","SL","SL","SL","SL","SL","SL","bay","baidoa","NA-3801-V32-008","30_less_1","no","no","no","yes","yes","no","no","no","no","yes","yes","yes","worse","no","no","yes","yes","no","bought_cash","no","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","yes","no","malaria","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","no","yes","no","no","NC","good","no","no",NA,"SL","SL","SL","SL","SL",NA,"SL","SL","SL","SL","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no",NA,"yes","yes","yes","no","NC","no","no","no","no","no","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","no","NC","no","NC","no","no","no","no",NA,"no","no","no","no","no","no","no","marriage_underaged","no","NC","no","no","no","none","yes","no","no","no","no","no","buul","no",NA,NA,NA,"water_trucking","yes","30_less_1","no","yes","yes","less_half","no","no","no","yes","no","no","no","no","no","no","no","burned","no","no","no","no","no","no","yes","no","no","no","yes","30_minutes_1","cost_stud","cost_stud","no","no","no","no","no","yes","friends_family","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","NC","no","yes","NC","no","SL","SL","SL","SL","SL","SL","SL","SL","main_road","no","yes","no","no","no","no","yes","no","no","no","no","no",NA,"no","washing_water","no","no","no","no","no","no","no","no","yes","no","no","yes","cost_stud","NC","no",c(43.40989, 3.17055)
"2","Abeesgarwaal","Bay","Baidoa","P-48","NC","yes_now","NA-3801-X33-001",2,"NA-3801-X33-001","yes","","NC","NC","NC","NC","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","drought","NC","yes_always","SL","SL","SL","SL","SL","SL","SL","bay","baidoa","NA-3801-X33-001","NC","no","no","no","yes","no","no","no","no","NC","yes","yes","NC","NC","SL","SL","SL","SL","SL","own_production","no","NC","no","no","NC","no","NC","no","no","no","no","no","no","no","NC","no","NC","NC","malaria","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","NC","no","NC","NC","no","once_a_month","good","no","yes","community_neighbors","yes","no","no","no","no","house","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","NC","no","no",NA,"yes","yes","yes","NC","no","no","NC","no","no","no","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","no","NC","no","no","no","no","no","no","none","yes","no","no","no","no","no","no","marriage_underaged","no","NC","no","no","no","none","yes","no","no","no","no","no","NC","no","no_destroyed","SL","SL","river_pond","SL","NC","NC","no","NC","NC","NC","no","no","no","no","no","no","no","NC","no","no","burned","NC","no","no","no","no","NC","yes","NC","no","no","yes","NC","NC","NC","no","NC","no","no","no","yes","friends_family","no","no","no","no","no","no","no","no","NC","no","no","no","no","no","yes","no","no","NC","no","no","NC","NC","NC","no","no","SL","SL","SL","SL","SL","SL","SL","SL","main_road","no","yes","no","no","no","no","no","NC","no","no","no","no","yes","no","washing_water washing_soap pray","no","NC","no","no","no","no","no","NC","NC","no","no","yes","NC","NC","no",c(43.49205, 3.1221)
"3","Abiikarow","Lower Shabelle","Marka","W-55","baidoa","yes_now","NA-3810-G26-002",2,"NA-3810-G26-002","yes","yes","NC","NC","NC","no_idps","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","conflict","drought","yes_restricted","SL","SL","SL","SL","SL","SL","SL","lower_shabelle","marka","NA-3810-G26-002","1_to_halfday","yes","yes","yes","yes","yes","no","no","no","yes","yes","yes","no","remained_same","SL","SL","SL","SL","SL","own_production","no","yes","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","none","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","NC","no","NC","yes","no","no_healthcare_workers","SL","NC","no",NA,"SL","SL","SL","SL","SL",NA,"SL","SL","SL","SL","yes","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","yes","yes","no","no",NA,"NC","no","no","NC","NC","no","NC","no","no","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","no","NC","no","NC","no","markets checkpoints field waterpoints","no","yes","yes","yes","no","no","yes","NC","no","no","yes","no","NC",NA,"no","no","no","no","no","no","thatched_hut","NC","NC","NC","NC","NC","NC","1_to_halfday","NC","no","no","none","no","no","no","yes","no","no","no","no","no","no","no","dumped","NC","no","no","no","no","no","yes","no","no","no","yes","30_minutes_1","cost_stud","cost_stud","NC","yes","no","no","no","no","friends_family","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","NC","NC","NC","no","SL","SL","SL","SL","SL","SL","SL","SL","secondary_road","no","yes","no","no","no","no","NC","no","NC","NC","no","no","yes","NC","NC","no","NC","no","no","no","no","no","yes","yes","no","no","yes","cost_stud","no","NC",c(44.65065, 1.72452)
"4","Abuurow","Bay","Baidoa","O-47","NC","yes_now","NA-3801-T31-008",2,"NA-3801-T31-008","yes","","NC","NC","NC","NC","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","NC","lack_jobs","yes_always","SL","SL","SL","SL","SL","SL","SL","bay","baidoa","NA-3801-T31-008","NC","no","no","no","yes","yes","no","no","no","NC","yes","NC","NC","NC","SL","SL","SL","SL","SL","NC","no","yes","no","no","NC","no","NC","no","no","no","no","no","no","no","NC","no","NC","NC","malaria","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","NC","no","NC","NC","no","no_healthcare_workers","good","NC","yes","community_neighbors","yes","no","no","no","no","house","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","NC","no","no","no","no","no","no","NC","no","no",NA,"yes","yes","yes","NC","NC","no","NC","no","no","no","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","no","NC","NC","no","no","no","no","no","field","no","no","no","yes","no","no","no","NC","no","NC","NC","no","no","none","yes","no","no","no","no","no","NC","no","no_destroyed","SL","SL","NC","NC","under_30","NC","no","NC","NC","no","no","no","NC","no","no","no","no","NC","no","no","burned","NC","no","no","no","no","NC","yes","NC","no","no","yes","NC","cost_stud","cost_stud","no","NC","no","no","no","yes","friends_family","no","no","no","no","no","no","no","no","NC","no","no","no","no","no","yes","no","no","NC","no","no","NC","NC","NC","no","no","SL","SL","SL","SL","SL","SL","SL","SL","main_road","no","yes","no","no","no","no","NC","no","no","no","no","no","yes","no","NC","no","NC","no","no","no","no","no","NC","NC","no","no","yes","cost_stud","no","no",c(43.38712, 3.25929)
"5","Alafuutow","Lower Shabelle","Kurtunwaarey","S-55","mogadishu","yes_now","NA-3810-L12-001",2,"NA-3810-L12-001","no","yes","prices_increased","prices_increased","prices_increased","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes_always","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL",NA,"SL","SL","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","no","yes","no","no","no_healthcare_workers","SL","no","SL",NA,"SL","SL","SL","SL","SL",NA,"SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","SL","SL","yes","no","no","no","no","no","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","no","yes","no","no","no","no","no","no","SL",NA,NA,NA,NA,NA,NA,NA,"marriage_underaged","no","NC","no","no","no","SL",NA,NA,NA,NA,NA,NA,"SL","no","NC","NC","NC","NC","NC","SL","NC","SL",NA,"SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","no","no","no","no","no","no","yes","no","no","no","yes","SL","cost_stud","cost_stud","no","no","no","no","no","yes","friends_family","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","no","no","yes","no","yes","no","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","no","no","no","no","yes","no","no","no","no","no",NA,"no","washing_water","no","no","no","no","no","no","no","no","yes","no","no","yes","cost_stud","no","NC",c(44.0224, 1.5671)
"6","Bardheere","Middle Shabelle","Balcad","AB-50","mogadishu","yes_now","NA-3807-J12-003",2,"NA-3807-J12-003","yes","yes","prices_increased","prices_increased","prices_increased","less_half","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","drought","flooding","NC","NC","NC","NC","SL","SL","SL","SL","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","yes","worse","no","no","yes","yes","no","given_someone","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","malaria","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","no","yes","no","no","no_healthcare_workers","good","no","no",NA,"SL","SL","SL","SL","SL",NA,"SL","SL","SL","SL","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no",NA,"yes","yes","yes","yes","no","no","no","no","no","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","no","yes","no","no","no","no","no","no",NA,"no","no","no","no","no","no","no","marriage_underaged","no","yes","no","no","no","none","yes","no","no","no","no","no","buul","no","NC","NC","NC","river_pond","SL","30_less_1","no","no","yes","around_half","no","no","no","yes","no","no","no","no","no","yes","no","buried","no","no","no","no","no","no","yes","no","no","no","yes","30_minutes_1","cost_stud","cost_stud","no","no","no","no","no","yes","friends_family","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","NC","yes","no","no","SL","SL","SL","SL","SL","SL","SL","SL","main_road","no","yes","no","no","no","no","NC","NC","no","no","no","no",NA,"no","washing_water","no","no","no","no","no","no","no","no","yes","no","no","yes","cost_stud","no","NC",c(45.50812, 2.63915)
"7","Baanlow","Bay","Baidoa","O-49","NC","yes_now","NA-3805-E29-001",2,"NA-3805-E29-001","no","yes","NC","NC","NC","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes_always","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","SL","SL","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","NC","no","NC","NC","no","no_healthcare_workers","SL","no","SL",NA,"SL","SL","SL","SL","SL",NA,"SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","SL","SL","NC","no","no","no","no","no","no","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","no","no","NC","no","no","no","no","no","SL",NA,NA,NA,NA,NA,NA,NA,"physical_violence","no","no","NC","no","no","SL",NA,NA,NA,NA,NA,NA,"SL","no","no_destroyed","SL","SL","NC","NC","SL","NC","SL","yes","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","no","no","no","no","no","no","yes","no","no","no","yes","SL","NC","NC","no","no","no","no","no","yes","friends_family","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","no","no","NC","NC","NC","no","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","no","no","no","no","NC","no","no","no","no","no","yes","no","NC","no","no","no","no","no","no","no","NC","yes","no","no","yes","NC","no","no",c(43.28316, 2.79677)
"8","Waaberi","Gedo","Baardheere","I-51","NC","yes_now","NA-3805-R07-004",2,"NA-3805-R07-004","yes","yes","NC","NC","NC","no_idps","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","drought","no_services","NC","NC","NC","NC","SL","SL","SL","SL","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","no","remained_same","SL","SL","SL","SL","SL","own_production","no","yes","no","no","yes","yes","yes","no","no","no","no","no","no","no","no","no","yes","yes","none","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","no","NC","NC","no","NC","SL","no","no",NA,"SL","SL","SL","SL","SL",NA,"SL","SL","SL","SL","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","yes","no","no",NA,"no","no","no","no","NC","NC","yes","no","no","NC","no","no","yes","no","no","no","no","no","no","no","yes","NC","no","no","no","NC","no","no","yes","NC","no","NC","no","NC","NC","NC","no","markets field checkpoints waterpoints","no","yes","yes","yes","no","no","yes","NC","NC","NC","no","no","no","none","yes","no","no","no","no","no","thatched_hut","no","NC","NC","NC","NC","NC","1_to_halfday","NC","no","no","none","no","no","no","yes","no","no","no","no","no","no","no","dumped","NC","no","no","no","no","no","yes","no","no","no","yes","30_minutes_1","NC","NC","NC","NC","no","no","no","NC","friends_family","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","NC","no","no","NC","NC","no","SL","SL","SL","SL","SL","SL","SL","SL","secondary_road","no","yes","no","no","no","no","NC","no","NC","NC","no","no","yes","NC","NC","no","NC","no","no","no","no","no","yes","NC","no","no","yes","NC","NC","NC",c(42.28779, 2.33813)
"9","Baaroweyne","Middle Shabelle","Jowhar","AB-49","NC","yes_now","NA-3807-D12-010",2,"NA-3807-D12-010","no","yes","prices_increased","prices_increased","prices_increased","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","NC","NC","NC","NC","SL","SL","SL","SL","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","SL","SL","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","NC","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","NC","no","NC","NC","no","no_healthcare_workers","SL","no","SL",NA,"SL","SL","SL","SL","SL",NA,"SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","no","SL","SL","no","no","NC","NC","no","no","NC","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","no","no","no","no","no","no","no","yes","no","NC","NC","no","no","no","no","no","SL",NA,NA,NA,NA,NA,NA,NA,"NC","no","NC","NC","no","no","SL",NA,NA,NA,NA,NA,NA,"SL","NC","flooding","SL","SL","NC","NC","SL","NC","SL","yes","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","NC","no","no","no","no","no","yes","no","no","no","yes","SL","NC","cost_stud","no","NC","no","no","no","yes","friends_family","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","no","no","no","NC","NC","NC","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","NC","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","SL","washing_water washing_soap pray","no","NC","no","no","no","no","no","NC","NC","no","no","yes","NC","no","NC",c(45.5226, 2.8675)
"10","Bakaar Yare","Bakool","Waajid","P-45","mogadishu","yes_now","NA-3801-J33-001",3,"NA-3801-J33-001","yes","yes","prices_increased","prices_increased","prices_increased","less_half","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","drought","lack_jobs","yes_always","SL","SL","SL","SL","SL","SL","SL","bakool","waajid","NA-3801-J33-001","under_30","no","no","no","yes","no","no","no","no","no","yes","no","no","worse","SL","SL","SL","SL","SL","bought_cash","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","malaria","no","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","SL","yes","no","yes","no","no","no_healthcare_workers","good","no","no",NA,"SL","SL","SL","SL","SL",NA,"SL","SL","SL","SL","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no",NA,"yes","yes","yes","no","no","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","roads","no","no","no","no","no","yes","no","NC","no","no","no","no","no",NA,"no","no","no","no","no","no","buul","no","no_destroyed","SL","SL","river_pond","SL","30_less_1","no","yes","yes","less_half","no","no","no","yes","no","no","no","no","no","no","no","burned","no","no","no","no","no","no","yes","no","no","no","yes","under_30","cost_stud","cost_stud","no","no","no","no","no","yes","friends_family","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no","SL","SL","SL","SL","SL","SL","SL","SL","main_road","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","no","NC","no","no","no","no","no","no","no","no","yes","no","no","yes","cost_stud","no","no",c(43.46766, 3.6466)
